movieId,title,date,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18
1,Toy Story,788918400.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jumanji,788918400.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Grumpier Old Men,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Waiting to Exhale,788918400.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Father of the Bride Part II,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat,788918400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom and Huck,788918400.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sudden Death,788918400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye,788918400.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The",788918400.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
12,Dracula: Dead and Loving It,788918400.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Balto,788918400.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,Cutthroat Island,788918400.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Casino,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
17,Sense and Sensibility,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18,Four Rooms,788918400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,Ace Ventura: When Nature Calls,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Money Train,788918400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Get Shorty,788918400.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Copycat,788918400.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
23,Assassins,788918400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Powder,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25,Leaving Las Vegas,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26,Othello,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Now and Then,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Persuasion,788918400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,"City of Lost Children, The",788918400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Dangerous Minds,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Twelve Monkeys,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
33,Wings of Courage,788918400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,Babe,788918400.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35,Carrington,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,Dead Man Walking,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,Across the Sea of Time,788918400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,It Takes Two,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Clueless,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40,"Cry, the Beloved Country",788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Richard III,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,Dead Presidents,788918400.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,Restoration,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,Mortal Kombat,788918400.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,To Die For,788918400.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,How to Make an American Quilt,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47,Seven (Se7en),788918400.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48,Pocahontas,788918400.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49,When Night Is Falling,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50,"Usual Suspects, The",788918400.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,Guardian Angel,757382400.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
52,Mighty Aphrodite,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Lamerica,757382400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,"Big Green, The",788918400.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Georgia,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,Kids of the Round Table,788918400.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,Home for the Holidays,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,"Postino, Il (The Postman)",757382400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
59,"Confessional, The (Le Confessionnal)",788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
60,"Indian in the Cupboard, The",788918400.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,Eye for an Eye,820454400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,Mr. Holland's Opus,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,820454400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Two if by Sea,820454400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
65,Bio-Dome,820454400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Lawnmower Man 2: Beyond Cyberspace,820454400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
67,Two Bits,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,French Twist (Gazon maudit),788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
69,Friday,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,From Dusk Till Dawn,820454400.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
71,Fair Game,788918400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Kicking and Screaming,788918400.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
73,"Misérables, Les",788918400.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
74,Bed of Roses,820454400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75,Big Bully,820454400.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
76,Screamers,788918400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
77,Nico Icon,788918400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,"Crossing Guard, The",788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,"Juror, The",820454400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80,"White Balloon, The (Badkonake Sefid )",788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,Things to Do in Denver when You're Dead,788918400.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
82,Antonia's Line (Antonia),788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,Once Upon a Time... When We Were Colored,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,Last Summer in the Hamptons,788918400.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
85,Angels and Insects,788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
86,White Squall,820454400.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,Dunston Checks In,820454400.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Black Sheep,820454400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Nick of Time,788918400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,"Journey of August King, The",788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,Mary Reilly,820454400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
93,Vampire in Brooklyn,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
94,Beautiful Girls,820454400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,Broken Arrow,820454400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,In the Bleak Midwinter,788918400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"Hate (Haine, La)",788918400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,Shopping,757382400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,Heidi Fleiss: Hollywood Madam,788918400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,City Hall,820454400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
101,Bottle Rocket,820454400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Mr. Wrong,820454400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Unforgettable,820454400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
