[2021-09-16 08:55:25,505] DEBUG  Started: lambda=1.0
[2021-09-16 08:56:03,876] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.6630546357615894
[2021-09-16 08:56:03,878] DEBUG  Finished: lambda=1.0
[2021-09-16 08:56:03,878] DEBUG  Started: lambda=10.0
[2021-09-16 08:56:41,353] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.6545529801324503
[2021-09-16 08:56:41,355] DEBUG  Finished: lambda=10.0
[2021-09-16 08:56:41,356] DEBUG  Started: lambda=50.0
[2021-09-16 08:57:19,047] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.6449420529801324
[2021-09-16 08:57:19,054] DEBUG  Finished: lambda=50.0
[2021-09-16 08:57:19,055] DEBUG  Started: lambda=100.0
[2021-09-16 08:57:59,087] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.6399586092715233
[2021-09-16 08:57:59,090] DEBUG  Finished: lambda=100.0
[2021-09-16 08:57:59,091] DEBUG  Started: lambda=250.0
[2021-09-16 08:58:41,145] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.6316390728476821
[2021-09-16 08:58:41,147] DEBUG  Finished: lambda=250.0
[2021-09-16 08:58:41,148] DEBUG  Started: lambda=500.0
[2021-09-16 08:59:18,489] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.6241225165562915
[2021-09-16 08:59:18,491] DEBUG  Finished: lambda=500.0
[2021-09-16 08:59:18,496] DEBUG  Started: lambda=750.0
[2021-09-16 08:59:55,706] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.6200745033112582
[2021-09-16 08:59:55,723] DEBUG  Finished: lambda=750.0
[2021-09-16 08:59:55,726] DEBUG  Started: lambda=1000.0
[2021-09-16 09:00:32,453] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.6167549668874172
[2021-09-16 09:00:32,455] DEBUG  Finished: lambda=1000.0
[2021-09-16 09:00:32,455] DEBUG  Started: lambda=2000.0
[2021-09-16 09:01:08,758] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.6089155629139072
[2021-09-16 09:01:08,760] DEBUG  Finished: lambda=2000.0
[2021-09-16 09:01:08,760] DEBUG  Started: lambda=5000.0
[2021-09-16 09:01:42,881] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.5994950331125828
[2021-09-16 09:01:42,881] DEBUG  Finished: lambda=5000.0
[2021-09-16 09:01:42,881] DEBUG  Started: lambda=10000.0
[2021-09-16 09:02:07,510] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.5948675496688742
[2021-09-16 09:02:07,511] DEBUG  Finished: lambda=10000.0
