[2021-09-15 21:07:05,186] INFO  Dataset: 1m
[2021-09-15 21:07:27,457] INFO  Grid search started: KNNpopularity
[2021-09-15 21:07:27,732] DEBUG  Started KNNpopularity, {'k': 2}
[2021-09-15 21:15:07,139] DEBUG  Recall: 0.03642384105960265, coverage: 0.35806799784133836, serendipity: 0.6728375643855776
[2021-09-15 21:15:07,140] DEBUG  Finished KNNpopularity, {'k': 2}
[2021-09-15 21:15:07,407] DEBUG  Started KNNpopularity, {'k': 3}
[2021-09-15 21:22:49,349] DEBUG  Recall: 0.029801324503311258, coverage: 0.33135456017269294, serendipity: 0.6772557947019867
[2021-09-15 21:22:49,349] DEBUG  Finished KNNpopularity, {'k': 3}
[2021-09-15 21:22:49,595] DEBUG  Started KNNpopularity, {'k': 4}
[2021-09-15 21:30:32,862] DEBUG  Recall: 0.029801324503311258, coverage: 0.3073394495412844, serendipity: 0.6801655629139074
[2021-09-15 21:30:32,862] DEBUG  Finished KNNpopularity, {'k': 4}
[2021-09-15 21:30:33,099] DEBUG  Started KNNpopularity, {'k': 5}
[2021-09-15 21:38:18,576] DEBUG  Recall: 0.024834437086092714, coverage: 0.2914193200215866, serendipity: 0.6822599337748345
[2021-09-15 21:38:18,576] DEBUG  Finished KNNpopularity, {'k': 5}
[2021-09-15 21:38:18,839] DEBUG  Started KNNpopularity, {'k': 10}
[2021-09-15 21:46:16,105] DEBUG  Recall: 0.022350993377483443, coverage: 0.23772261198057204, serendipity: 0.6897847682119206
[2021-09-15 21:46:16,105] DEBUG  Finished KNNpopularity, {'k': 10}
[2021-09-15 21:46:16,370] DEBUG  Started KNNpopularity, {'k': 15}
[2021-09-15 21:54:25,033] DEBUG  Recall: 0.01903973509933775, coverage: 0.20102536427415002, serendipity: 0.6924337748344371
[2021-09-15 21:54:25,033] DEBUG  Finished KNNpopularity, {'k': 15}
[2021-09-15 21:54:25,275] DEBUG  Started KNNpopularity, {'k': 20}
[2021-09-15 22:02:44,958] DEBUG  Recall: 0.01903973509933775, coverage: 0.17539125742039935, serendipity: 0.6935099337748344
[2021-09-15 22:02:44,959] DEBUG  Finished KNNpopularity, {'k': 20}
[2021-09-15 22:02:45,197] DEBUG  Started KNNpopularity, {'k': 25}
[2021-09-15 22:11:16,140] DEBUG  Recall: 0.01903973509933775, coverage: 0.1559633027522936, serendipity: 0.6946192052980132
[2021-09-15 22:11:16,140] DEBUG  Finished KNNpopularity, {'k': 25}
[2021-09-15 22:11:16,400] DEBUG  Started KNNpopularity, {'k': 30}
[2021-09-15 22:19:59,046] DEBUG  Recall: 0.0173841059602649, coverage: 0.14085267134376686, serendipity: 0.695364238410596
[2021-09-15 22:19:59,046] DEBUG  Finished KNNpopularity, {'k': 30}
[2021-09-15 22:19:59,272] DEBUG  Started KNNpopularity, {'k': 40}
[2021-09-15 22:29:05,996] DEBUG  Recall: 0.0173841059602649, coverage: 0.11899622234214786, serendipity: 0.6960844370860928
[2021-09-15 22:29:05,997] DEBUG  Finished KNNpopularity, {'k': 40}
[2021-09-15 22:29:06,254] DEBUG  Started KNNpopularity, {'k': 50}
[2021-09-15 22:38:35,324] DEBUG  Recall: 0.0173841059602649, coverage: 0.10469508904479223, serendipity: 0.6966639072847682
[2021-09-15 22:38:35,324] DEBUG  Finished KNNpopularity, {'k': 50}
[2021-09-15 22:38:35,555] DEBUG  Started KNNpopularity, {'k': 60}
[2021-09-15 22:48:27,073] DEBUG  Recall: 0.018211920529801324, coverage: 0.09363194819212088, serendipity: 0.6968294701986755
[2021-09-15 22:48:27,073] DEBUG  Finished KNNpopularity, {'k': 60}
[2021-09-15 22:48:27,285] DEBUG  Started KNNpopularity, {'k': 70}
