[2021-09-16 08:54:09,956] DEBUG  Started: lambda=1.0
[2021-09-16 08:55:12,764] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.6625688813778305
[2021-09-16 08:55:12,765] DEBUG  Finished: lambda=1.0
[2021-09-16 08:55:12,765] DEBUG  Started: lambda=10.0
[2021-09-16 08:55:50,468] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.6593257647691227
[2021-09-16 08:55:50,471] DEBUG  Finished: lambda=10.0
[2021-09-16 08:55:50,476] DEBUG  Started: lambda=50.0
[2021-09-16 08:56:27,153] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.6559900667406308
[2021-09-16 08:56:27,175] DEBUG  Finished: lambda=50.0
[2021-09-16 08:56:27,209] DEBUG  Started: lambda=100.0
[2021-09-16 08:57:02,231] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.654612750758647
[2021-09-16 08:57:02,254] DEBUG  Finished: lambda=100.0
[2021-09-16 08:57:02,278] DEBUG  Started: lambda=250.0
[2021-09-16 08:57:38,252] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.6534629104591675
[2021-09-16 08:57:38,275] DEBUG  Finished: lambda=250.0
[2021-09-16 08:57:38,277] DEBUG  Started: lambda=500.0
[2021-09-16 08:58:20,234] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.6523428695642949
[2021-09-16 08:58:20,292] DEBUG  Finished: lambda=500.0
[2021-09-16 08:58:20,342] DEBUG  Started: lambda=750.0
[2021-09-16 08:58:57,015] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.6522114086377732
[2021-09-16 08:58:57,022] DEBUG  Finished: lambda=750.0
[2021-09-16 08:58:57,023] DEBUG  Started: lambda=1000.0
[2021-09-16 08:59:32,915] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.6523146491213493
[2021-09-16 08:59:32,958] DEBUG  Finished: lambda=1000.0
[2021-09-16 08:59:32,994] DEBUG  Started: lambda=2000.0
[2021-09-16 09:00:08,683] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.6534831377875281
[2021-09-16 09:00:08,719] DEBUG  Finished: lambda=2000.0
[2021-09-16 09:00:08,755] DEBUG  Started: lambda=5000.0
[2021-09-16 09:00:44,280] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.6579077693222205
[2021-09-16 09:00:44,321] DEBUG  Finished: lambda=5000.0
[2021-09-16 09:00:44,347] DEBUG  Started: lambda=10000.0
[2021-09-16 09:01:20,057] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.6639763746218375
[2021-09-16 09:01:20,102] DEBUG  Finished: lambda=10000.0
