[2021-09-16 08:54:12,483] DEBUG  Started: lambda=1.0
[2021-09-16 08:55:16,107] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.9076365894039736
[2021-09-16 08:55:16,116] DEBUG  Finished: lambda=1.0
[2021-09-16 08:55:16,119] DEBUG  Started: lambda=10.0
[2021-09-16 08:55:53,888] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.8863824503311258
[2021-09-16 08:55:53,893] DEBUG  Finished: lambda=10.0
[2021-09-16 08:55:53,918] DEBUG  Started: lambda=50.0
[2021-09-16 08:56:31,476] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.862355132450331
[2021-09-16 08:56:31,512] DEBUG  Finished: lambda=50.0
[2021-09-16 08:56:31,545] DEBUG  Started: lambda=100.0
[2021-09-16 08:57:06,801] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.8498965231788079
[2021-09-16 08:57:06,847] DEBUG  Finished: lambda=100.0
[2021-09-16 08:57:06,924] DEBUG  Started: lambda=250.0
[2021-09-16 08:57:43,045] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.8290976821192053
[2021-09-16 08:57:43,065] DEBUG  Finished: lambda=250.0
[2021-09-16 08:57:43,081] DEBUG  Started: lambda=500.0
[2021-09-16 08:58:23,999] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.8103062913907284
[2021-09-16 08:58:24,019] DEBUG  Finished: lambda=500.0
[2021-09-16 08:58:24,054] DEBUG  Started: lambda=750.0
[2021-09-16 08:59:01,728] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.8001862582781457
[2021-09-16 08:59:01,772] DEBUG  Finished: lambda=750.0
[2021-09-16 08:59:01,842] DEBUG  Started: lambda=1000.0
[2021-09-16 08:59:37,639] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.7918874172185429
[2021-09-16 08:59:37,661] DEBUG  Finished: lambda=1000.0
[2021-09-16 08:59:37,704] DEBUG  Started: lambda=2000.0
[2021-09-16 09:00:12,944] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.7722889072847682
[2021-09-16 09:00:12,950] DEBUG  Finished: lambda=2000.0
[2021-09-16 09:00:12,960] DEBUG  Started: lambda=5000.0
[2021-09-16 09:00:47,991] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.748737582781457
[2021-09-16 09:00:47,993] DEBUG  Finished: lambda=5000.0
[2021-09-16 09:00:47,994] DEBUG  Started: lambda=10000.0
[2021-09-16 09:01:25,828] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.7371688741721855
[2021-09-16 09:01:25,828] DEBUG  Finished: lambda=10000.0
