[2021-09-15 21:32:26,817] INFO  Dataset: 1m
[2021-09-15 21:32:55,241] INFO  Grid search started: KNNpopularity
[2021-09-15 21:32:55,583] DEBUG  Started KNNpopularity, {'k': 2}
[2021-09-15 21:40:35,454] DEBUG  Recall: 0.03642384105960265, coverage: 0.35806799784133836, serendipity: 0.9320939109639441
[2021-09-15 21:40:35,454] DEBUG  Finished KNNpopularity, {'k': 2}
[2021-09-15 21:40:35,793] DEBUG  Started KNNpopularity, {'k': 3}
[2021-09-15 21:48:19,551] DEBUG  Recall: 0.029801324503311258, coverage: 0.33135456017269294, serendipity: 0.9431394867549668
[2021-09-15 21:48:19,552] DEBUG  Finished KNNpopularity, {'k': 3}
[2021-09-15 21:48:19,891] DEBUG  Started KNNpopularity, {'k': 4}
[2021-09-15 21:56:03,885] DEBUG  Recall: 0.029801324503311258, coverage: 0.3073394495412844, serendipity: 0.9504139072847682
[2021-09-15 21:56:03,885] DEBUG  Finished KNNpopularity, {'k': 4}
[2021-09-15 21:56:04,221] DEBUG  Started KNNpopularity, {'k': 5}
[2021-09-15 22:03:53,918] DEBUG  Recall: 0.024834437086092714, coverage: 0.2914193200215866, serendipity: 0.9556498344370861
[2021-09-15 22:03:53,919] DEBUG  Finished KNNpopularity, {'k': 5}
[2021-09-15 22:03:54,258] DEBUG  Started KNNpopularity, {'k': 10}
[2021-09-15 22:12:03,572] DEBUG  Recall: 0.022350993377483443, coverage: 0.23772261198057204, serendipity: 0.9744619205298014
[2021-09-15 22:12:03,572] DEBUG  Finished KNNpopularity, {'k': 10}
[2021-09-15 22:12:03,911] DEBUG  Started KNNpopularity, {'k': 15}
[2021-09-15 22:20:24,277] DEBUG  Recall: 0.01903973509933775, coverage: 0.20102536427415002, serendipity: 0.9810844370860928
[2021-09-15 22:20:24,278] DEBUG  Finished KNNpopularity, {'k': 15}
[2021-09-15 22:20:24,627] DEBUG  Started KNNpopularity, {'k': 20}
[2021-09-15 22:28:53,993] DEBUG  Recall: 0.01903973509933775, coverage: 0.17539125742039935, serendipity: 0.9837748344370861
[2021-09-15 22:28:53,993] DEBUG  Finished KNNpopularity, {'k': 20}
[2021-09-15 22:28:54,329] DEBUG  Started KNNpopularity, {'k': 25}
[2021-09-15 22:37:40,140] DEBUG  Recall: 0.01903973509933775, coverage: 0.1559633027522936, serendipity: 0.9865480132450332
[2021-09-15 22:37:40,141] DEBUG  Finished KNNpopularity, {'k': 25}
[2021-09-15 22:37:40,487] DEBUG  Started KNNpopularity, {'k': 30}
[2021-09-15 22:46:41,271] DEBUG  Recall: 0.0173841059602649, coverage: 0.14085267134376686, serendipity: 0.9884105960264901
[2021-09-15 22:46:41,271] DEBUG  Finished KNNpopularity, {'k': 30}
[2021-09-15 22:46:41,607] DEBUG  Started KNNpopularity, {'k': 40}
[2021-09-15 22:56:11,047] DEBUG  Recall: 0.0173841059602649, coverage: 0.11899622234214786, serendipity: 0.9902110927152318
[2021-09-15 22:56:11,047] DEBUG  Finished KNNpopularity, {'k': 40}
[2021-09-15 22:56:11,386] DEBUG  Started KNNpopularity, {'k': 50}
[2021-09-15 23:06:08,542] DEBUG  Recall: 0.0173841059602649, coverage: 0.10469508904479223, serendipity: 0.9916597682119207
[2021-09-15 23:06:08,542] DEBUG  Finished KNNpopularity, {'k': 50}
[2021-09-15 23:06:08,878] DEBUG  Started KNNpopularity, {'k': 60}
[2021-09-15 23:16:32,808] DEBUG  Recall: 0.018211920529801324, coverage: 0.09363194819212088, serendipity: 0.9920736754966887
[2021-09-15 23:16:32,808] DEBUG  Finished KNNpopularity, {'k': 60}
[2021-09-15 23:16:33,137] DEBUG  Started KNNpopularity, {'k': 70}
[2021-09-15 23:27:22,666] DEBUG  Recall: 0.018211920529801324, coverage: 0.08256880733944955, serendipity: 0.9927359271523178
[2021-09-15 23:27:22,666] DEBUG  Finished KNNpopularity, {'k': 70}
[2021-09-15 23:27:23,005] DEBUG  Started KNNpopularity, {'k': 80}
