[2021-09-16 08:55:06,277] DEBUG  Started: lambda=1.0
[2021-09-16 08:55:47,576] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.33743111862216957
[2021-09-16 08:55:47,577] DEBUG  Finished: lambda=1.0
[2021-09-16 08:55:47,578] DEBUG  Started: lambda=10.0
[2021-09-16 08:56:23,530] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.3406742352308772
[2021-09-16 08:56:23,531] DEBUG  Finished: lambda=10.0
[2021-09-16 08:56:23,532] DEBUG  Started: lambda=50.0
[2021-09-16 08:56:59,589] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.34400993325936924
[2021-09-16 08:56:59,591] DEBUG  Finished: lambda=50.0
[2021-09-16 08:56:59,591] DEBUG  Started: lambda=100.0
[2021-09-16 08:57:35,617] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.345387249241353
[2021-09-16 08:57:35,619] DEBUG  Finished: lambda=100.0
[2021-09-16 08:57:35,619] DEBUG  Started: lambda=250.0
[2021-09-16 08:58:15,558] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.3465370895408324
[2021-09-16 08:58:15,561] DEBUG  Finished: lambda=250.0
[2021-09-16 08:58:15,563] DEBUG  Started: lambda=500.0
[2021-09-16 08:58:54,072] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.3476571304357052
[2021-09-16 08:58:54,074] DEBUG  Finished: lambda=500.0
[2021-09-16 08:58:54,074] DEBUG  Started: lambda=750.0
[2021-09-16 08:59:29,370] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.34778859136222684
[2021-09-16 08:59:29,372] DEBUG  Finished: lambda=750.0
[2021-09-16 08:59:29,372] DEBUG  Started: lambda=1000.0
[2021-09-16 09:00:05,108] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.34768535087865077
[2021-09-16 09:00:05,110] DEBUG  Finished: lambda=1000.0
[2021-09-16 09:00:05,110] DEBUG  Started: lambda=2000.0
[2021-09-16 09:00:40,527] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.34651686221247185
[2021-09-16 09:00:40,529] DEBUG  Finished: lambda=2000.0
[2021-09-16 09:00:40,529] DEBUG  Started: lambda=5000.0
[2021-09-16 09:01:16,234] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.34209223067777955
[2021-09-16 09:01:16,236] DEBUG  Finished: lambda=5000.0
[2021-09-16 09:01:16,236] DEBUG  Started: lambda=10000.0
[2021-09-16 09:01:48,222] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.3360236253781625
[2021-09-16 09:01:48,223] DEBUG  Finished: lambda=10000.0
