[2021-09-15 22:00:15,206] INFO  Dataset: 1m
[2021-09-15 22:00:33,782] INFO  Grid search started: KNNpopularity
[2021-09-15 22:00:34,034] DEBUG  Started KNNpopularity, {'k': 2}
[2021-09-15 22:08:11,931] DEBUG  Recall: 0.03642384105960265, coverage: 0.35806799784133836, serendipity: 0.29084931242001916
[2021-09-15 22:08:11,931] DEBUG  Finished KNNpopularity, {'k': 2}
[2021-09-15 22:08:12,199] DEBUG  Started KNNpopularity, {'k': 3}
[2021-09-15 22:15:53,128] DEBUG  Recall: 0.029801324503311258, coverage: 0.33135456017269294, serendipity: 0.28982375223708423
[2021-09-15 22:15:53,129] DEBUG  Finished KNNpopularity, {'k': 3}
[2021-09-15 22:15:53,390] DEBUG  Started KNNpopularity, {'k': 4}
[2021-09-15 22:23:36,190] DEBUG  Recall: 0.029801324503311258, coverage: 0.3073394495412844, serendipity: 0.29151840841303883
[2021-09-15 22:23:36,190] DEBUG  Finished KNNpopularity, {'k': 4}
[2021-09-15 22:23:36,437] DEBUG  Started KNNpopularity, {'k': 5}
[2021-09-15 22:31:21,700] DEBUG  Recall: 0.024834437086092714, coverage: 0.2914193200215866, serendipity: 0.2919898865403058
[2021-09-15 22:31:21,701] DEBUG  Finished KNNpopularity, {'k': 5}
[2021-09-15 22:31:21,954] DEBUG  Started KNNpopularity, {'k': 10}
[2021-09-15 22:39:18,693] DEBUG  Recall: 0.022350993377483443, coverage: 0.23772261198057204, serendipity: 0.2957080893510874
[2021-09-15 22:39:18,693] DEBUG  Finished KNNpopularity, {'k': 10}
[2021-09-15 22:39:18,949] DEBUG  Started KNNpopularity, {'k': 15}
[2021-09-15 22:47:27,214] DEBUG  Recall: 0.01903973509933775, coverage: 0.20102536427415002, serendipity: 0.2970387850757899
[2021-09-15 22:47:27,214] DEBUG  Finished KNNpopularity, {'k': 15}
[2021-09-15 22:47:27,475] DEBUG  Started KNNpopularity, {'k': 20}
[2021-09-15 22:55:47,119] DEBUG  Recall: 0.01903973509933775, coverage: 0.17539125742039935, serendipity: 0.2971214211310221
[2021-09-15 22:55:47,120] DEBUG  Finished KNNpopularity, {'k': 20}
[2021-09-15 22:55:47,378] DEBUG  Started KNNpopularity, {'k': 25}
[2021-09-15 23:04:18,702] DEBUG  Recall: 0.01903973509933775, coverage: 0.1559633027522936, serendipity: 0.29867796503178423
[2021-09-15 23:04:18,702] DEBUG  Finished KNNpopularity, {'k': 25}
[2021-09-15 23:04:18,934] DEBUG  Started KNNpopularity, {'k': 30}
[2021-09-15 23:13:02,062] DEBUG  Recall: 0.0173841059602649, coverage: 0.14085267134376686, serendipity: 0.2976157182704422
[2021-09-15 23:13:02,062] DEBUG  Finished KNNpopularity, {'k': 30}
[2021-09-15 23:13:02,318] DEBUG  Started KNNpopularity, {'k': 40}
