[2021-09-16 23:46:28,085] DEBUG  Started: lambda=1.0
[2021-09-16 23:47:06,873] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.6625688813778305
[2021-09-16 23:47:06,874] DEBUG  Finished: lambda=1.0
[2021-09-16 23:47:06,874] DEBUG  Started: lambda=10.0
[2021-09-16 23:47:46,124] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.6593257647691227
[2021-09-16 23:47:46,125] DEBUG  Finished: lambda=10.0
[2021-09-16 23:47:46,125] DEBUG  Started: lambda=50.0
[2021-09-16 23:48:25,356] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.6559900667406308
[2021-09-16 23:48:25,359] DEBUG  Finished: lambda=50.0
[2021-09-16 23:48:25,359] DEBUG  Started: lambda=100.0
[2021-09-16 23:49:05,136] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.654612750758647
[2021-09-16 23:49:05,138] DEBUG  Finished: lambda=100.0
[2021-09-16 23:49:05,138] DEBUG  Started: lambda=250.0
[2021-09-16 23:49:44,116] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.6534629104591675
[2021-09-16 23:49:44,118] DEBUG  Finished: lambda=250.0
[2021-09-16 23:49:44,128] DEBUG  Started: lambda=500.0
[2021-09-16 23:50:23,123] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.6523428695642949
[2021-09-16 23:50:23,123] DEBUG  Finished: lambda=500.0
[2021-09-16 23:50:23,124] DEBUG  Started: lambda=750.0
[2021-09-16 23:51:02,170] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.6522114086377732
[2021-09-16 23:51:02,178] DEBUG  Finished: lambda=750.0
[2021-09-16 23:51:02,189] DEBUG  Started: lambda=1000.0
[2021-09-16 23:51:40,974] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.6523146491213493
[2021-09-16 23:51:40,975] DEBUG  Finished: lambda=1000.0
[2021-09-16 23:51:40,976] DEBUG  Started: lambda=2000.0
[2021-09-16 23:52:19,955] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.6534831377875281
[2021-09-16 23:52:19,975] DEBUG  Finished: lambda=2000.0
[2021-09-16 23:52:19,982] DEBUG  Started: lambda=5000.0
[2021-09-16 23:52:59,151] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.6579077693222205
[2021-09-16 23:52:59,153] DEBUG  Finished: lambda=5000.0
[2021-09-16 23:52:59,154] DEBUG  Started: lambda=10000.0
[2021-09-16 23:53:37,857] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.6639763746218375
[2021-09-16 23:53:37,859] DEBUG  Finished: lambda=10000.0
