[2021-09-16 23:46:38,344] DEBUG  Started: lambda=1.0
[2021-09-16 23:47:17,341] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.9202193708609272
[2021-09-16 23:47:17,342] DEBUG  Finished: lambda=1.0
[2021-09-16 23:47:17,343] DEBUG  Started: lambda=10.0
[2021-09-16 23:47:55,795] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.9060223509933774
[2021-09-16 23:47:55,797] DEBUG  Finished: lambda=10.0
[2021-09-16 23:47:55,797] DEBUG  Started: lambda=50.0
[2021-09-16 23:48:34,639] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.8908319536423841
[2021-09-16 23:48:34,639] DEBUG  Finished: lambda=50.0
[2021-09-16 23:48:34,639] DEBUG  Started: lambda=100.0
[2021-09-16 23:49:13,487] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.8829884105960266
[2021-09-16 23:49:13,488] DEBUG  Finished: lambda=100.0
[2021-09-16 23:49:13,489] DEBUG  Started: lambda=250.0
[2021-09-16 23:49:52,074] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.8691846026490068
[2021-09-16 23:49:52,076] DEBUG  Finished: lambda=250.0
[2021-09-16 23:49:52,076] DEBUG  Started: lambda=500.0
[2021-09-16 23:50:31,441] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.8567880794701986
[2021-09-16 23:50:31,443] DEBUG  Finished: lambda=500.0
[2021-09-16 23:50:31,443] DEBUG  Started: lambda=750.0
[2021-09-16 23:51:10,055] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.8492135761589403
[2021-09-16 23:51:10,066] DEBUG  Finished: lambda=750.0
[2021-09-16 23:51:10,067] DEBUG  Started: lambda=1000.0
[2021-09-16 23:51:48,229] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.8429635761589404
[2021-09-16 23:51:48,231] DEBUG  Finished: lambda=1000.0
[2021-09-16 23:51:48,231] DEBUG  Started: lambda=2000.0
[2021-09-16 23:52:26,414] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.8284354304635762
[2021-09-16 23:52:26,417] DEBUG  Finished: lambda=2000.0
[2021-09-16 23:52:26,417] DEBUG  Started: lambda=5000.0
[2021-09-16 23:53:04,710] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.8088162251655631
[2021-09-16 23:53:04,712] DEBUG  Finished: lambda=5000.0
[2021-09-16 23:53:04,712] DEBUG  Started: lambda=10000.0
[2021-09-16 23:53:41,820] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.7971026490066226
[2021-09-16 23:53:41,821] DEBUG  Finished: lambda=10000.0
