[2021-09-16 23:46:53,137] DEBUG  Started: lambda=1.0
[2021-09-16 23:47:33,762] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.33743111862216957
[2021-09-16 23:47:33,763] DEBUG  Finished: lambda=1.0
[2021-09-16 23:47:33,764] DEBUG  Started: lambda=10.0
[2021-09-16 23:48:12,266] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.3406742352308772
[2021-09-16 23:48:12,267] DEBUG  Finished: lambda=10.0
[2021-09-16 23:48:12,268] DEBUG  Started: lambda=50.0
[2021-09-16 23:48:52,112] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.34400993325936924
[2021-09-16 23:48:52,114] DEBUG  Finished: lambda=50.0
[2021-09-16 23:48:52,115] DEBUG  Started: lambda=100.0
[2021-09-16 23:49:30,578] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.345387249241353
[2021-09-16 23:49:30,581] DEBUG  Finished: lambda=100.0
[2021-09-16 23:49:30,582] DEBUG  Started: lambda=250.0
[2021-09-16 23:50:08,998] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.3465370895408324
[2021-09-16 23:50:08,999] DEBUG  Finished: lambda=250.0
[2021-09-16 23:50:09,001] DEBUG  Started: lambda=500.0
[2021-09-16 23:50:47,470] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.3476571304357052
[2021-09-16 23:50:47,472] DEBUG  Finished: lambda=500.0
[2021-09-16 23:50:47,473] DEBUG  Started: lambda=750.0
[2021-09-16 23:51:26,107] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.34778859136222684
[2021-09-16 23:51:26,109] DEBUG  Finished: lambda=750.0
[2021-09-16 23:51:26,109] DEBUG  Started: lambda=1000.0
[2021-09-16 23:52:04,833] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.34768535087865077
[2021-09-16 23:52:04,834] DEBUG  Finished: lambda=1000.0
[2021-09-16 23:52:04,836] DEBUG  Started: lambda=2000.0
[2021-09-16 23:52:43,256] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.34651686221247185
[2021-09-16 23:52:43,257] DEBUG  Finished: lambda=2000.0
[2021-09-16 23:52:43,257] DEBUG  Started: lambda=5000.0
[2021-09-16 23:53:21,241] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.34209223067777955
[2021-09-16 23:53:21,242] DEBUG  Finished: lambda=5000.0
[2021-09-16 23:53:21,242] DEBUG  Started: lambda=10000.0
[2021-09-16 23:53:55,645] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.3360236253781625
[2021-09-16 23:53:55,646] DEBUG  Finished: lambda=10000.0
