[2021-10-06 20:01:14,710] DEBUG  Started: lambda=1.0
[2021-10-06 20:01:48,339] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, novelty: 0.7658888697624207, unexpectedness: 0.8747806828932657, relevance: 0.3374311186221695
[2021-10-06 20:01:48,340] DEBUG  Finished: lambda=1.0
[2021-10-06 20:01:48,340] DEBUG  Started: lambda=10.0
[2021-10-06 20:02:22,289] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, novelty: 0.7638028264045715, unexpectedness: 0.8502881224735529, relevance: 0.3406742352308772
[2021-10-06 20:02:22,290] DEBUG  Finished: lambda=10.0
[2021-10-06 20:02:22,290] DEBUG  Started: lambda=50.0
[2021-10-06 20:02:55,949] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, novelty: 0.7552644610404968, unexpectedness: 0.8238088070869527, relevance: 0.34400993325936924
[2021-10-06 20:02:55,959] DEBUG  Finished: lambda=50.0
[2021-10-06 20:02:55,960] DEBUG  Started: lambda=100.0
[2021-10-06 20:03:29,719] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, novelty: 0.7494012713432312, unexpectedness: 0.8084619850348327, relevance: 0.34538724924135306
[2021-10-06 20:03:29,720] DEBUG  Finished: lambda=100.0
[2021-10-06 20:03:29,721] DEBUG  Started: lambda=250.0
[2021-10-06 20:04:03,345] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, novelty: 0.7424414157867432, unexpectedness: 0.7817773286316332, relevance: 0.34653708954083245
[2021-10-06 20:04:03,345] DEBUG  Finished: lambda=250.0
[2021-10-06 20:04:03,346] DEBUG  Started: lambda=500.0
[2021-10-06 20:04:37,249] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, novelty: 0.7354980707168579, unexpectedness: 0.7583781284940225, relevance: 0.3476571304357051
[2021-10-06 20:04:37,250] DEBUG  Finished: lambda=500.0
[2021-10-06 20:04:37,250] DEBUG  Started: lambda=750.0
[2021-10-06 20:05:10,801] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, novelty: 0.7293603420257568, unexpectedness: 0.7427453341360626, relevance: 0.34778859136222673
[2021-10-06 20:05:10,801] DEBUG  Finished: lambda=750.0
[2021-10-06 20:05:10,802] DEBUG  Started: lambda=1000.0
[2021-10-06 20:05:44,404] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, novelty: 0.7212021946907043, unexpectedness: 0.7292057280467876, relevance: 0.3476853508786507
[2021-10-06 20:05:44,405] DEBUG  Finished: lambda=1000.0
[2021-10-06 20:05:44,405] DEBUG  Started: lambda=2000.0
[2021-10-06 20:06:18,323] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, novelty: 0.6963515281677246, unexpectedness: 0.6997151027780167, relevance: 0.3465168622124719
[2021-10-06 20:06:18,323] DEBUG  Finished: lambda=2000.0
[2021-10-06 20:06:18,323] DEBUG  Started: lambda=5000.0
[2021-10-06 20:06:52,484] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, novelty: 0.6612159609794617, unexpectedness: 0.6591833663025717, relevance: 0.3420922306777796
[2021-10-06 20:06:52,487] DEBUG  Finished: lambda=5000.0
[2021-10-06 20:06:52,487] DEBUG  Started: lambda=10000.0
[2021-10-06 20:07:26,467] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, novelty: 0.6335723996162415, unexpectedness: 0.6342252945729767, relevance: 0.33602362537816255
[2021-10-06 20:07:26,468] DEBUG  Finished: lambda=10000.0
