[2021-10-13 09:13:59,377] DEBUG  Started: lambda=1.0
[2021-10-13 09:14:27,410] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, novelty: 0.7658888697624207, unexpectedness: 0.4133278145695364, relevance: 0.3374311186221695
[2021-10-13 09:14:27,411] DEBUG  Finished: lambda=1.0
[2021-10-13 09:14:27,411] DEBUG  Started: lambda=10.0
[2021-10-13 09:14:55,135] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, novelty: 0.7638028264045715, unexpectedness: 0.35910596026490066, relevance: 0.3406742352308772
[2021-10-13 09:14:55,135] DEBUG  Finished: lambda=10.0
[2021-10-13 09:14:55,136] DEBUG  Started: lambda=50.0
[2021-10-13 09:15:28,505] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, novelty: 0.7552644610404968, unexpectedness: 0.2995860927152318, relevance: 0.34400993325936924
[2021-10-13 09:15:28,505] DEBUG  Finished: lambda=50.0
[2021-10-13 09:15:28,506] DEBUG  Started: lambda=100.0
[2021-10-13 09:15:56,326] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, novelty: 0.7494012713432312, unexpectedness: 0.2644039735099338, relevance: 0.34538724924135306
[2021-10-13 09:15:56,327] DEBUG  Finished: lambda=100.0
[2021-10-13 09:15:56,327] DEBUG  Started: lambda=250.0
[2021-10-13 09:16:23,841] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, novelty: 0.7424414157867432, unexpectedness: 0.20794701986754965, relevance: 0.34653708954083245
[2021-10-13 09:16:23,841] DEBUG  Finished: lambda=250.0
[2021-10-13 09:16:23,842] DEBUG  Started: lambda=500.0
[2021-10-13 09:16:51,392] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, novelty: 0.7354980707168579, unexpectedness: 0.16456953642384106, relevance: 0.3476571304357051
[2021-10-13 09:16:51,392] DEBUG  Finished: lambda=500.0
[2021-10-13 09:16:51,392] DEBUG  Started: lambda=750.0
[2021-10-13 09:17:19,873] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, novelty: 0.7293603420257568, unexpectedness: 0.13600993377483445, relevance: 0.34778859136222673
[2021-10-13 09:17:19,873] DEBUG  Finished: lambda=750.0
[2021-10-13 09:17:19,874] DEBUG  Started: lambda=1000.0
[2021-10-13 09:17:47,877] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, novelty: 0.7212021946907043, unexpectedness: 0.1169701986754967, relevance: 0.3476853508786507
[2021-10-13 09:17:47,877] DEBUG  Finished: lambda=1000.0
[2021-10-13 09:17:47,878] DEBUG  Started: lambda=2000.0
[2021-10-13 09:18:16,642] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, novelty: 0.6963515281677246, unexpectedness: 0.07144039735099338, relevance: 0.3465168622124719
[2021-10-13 09:18:16,643] DEBUG  Finished: lambda=2000.0
[2021-10-13 09:18:16,643] DEBUG  Started: lambda=5000.0
[2021-10-13 09:18:44,305] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, novelty: 0.6612159609794617, unexpectedness: 0.025827814569536426, relevance: 0.3420922306777796
[2021-10-13 09:18:44,305] DEBUG  Finished: lambda=5000.0
[2021-10-13 09:18:44,305] DEBUG  Started: lambda=10000.0
[2021-10-13 09:19:12,062] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, novelty: 0.6335723996162415, unexpectedness: 0.010182119205298015, relevance: 0.33602362537816255
[2021-10-13 09:19:12,062] DEBUG  Finished: lambda=10000.0
