[2021-10-13 00:30:50,124] INFO  Dataset: 1m
[2021-10-13 00:30:57,539] INFO  Grid search started: AutoRec
[2021-10-13 00:31:08,048] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-10-13 00:31:52,985] DEBUG  Recall: 0.02152317880794702,coverage: 0.019697787371829464,novelty: 0.3046053349971771,unexpectedness: 0.0,relevance: 0.2517652957346636
[2021-10-13 00:31:52,986] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-10-13 00:32:02,492] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-10-13 00:32:46,844] DEBUG  Recall: 0.019867549668874173,coverage: 0.008634646519158122,novelty: 0.34084662795066833,unexpectedness: 0.2631622516556291,relevance: 0.2561957620547194
[2021-10-13 00:32:46,845] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-10-13 00:32:57,255] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-10-13 00:33:46,069] DEBUG  Recall: 0.023178807947019868,coverage: 0.005126821370750135,novelty: 0.30573514103889465,unexpectedness: 0.5517384105960265,relevance: 0.25429179596644624
[2021-10-13 00:33:46,070] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-10-13 00:33:54,906] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-10-13 00:34:40,381] DEBUG  Recall: 0.018211920529801324,coverage: 0.0434430652995143,novelty: 0.4428446292877197,unexpectedness: 0.5753311258278145,relevance: 0.26200548432311704
[2021-10-13 00:34:40,381] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-10-13 00:34:48,250] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
[2021-10-13 00:35:36,409] DEBUG  Recall: 0.019867549668874173,coverage: 0.04263356718834323,novelty: 0.3692646026611328,unexpectedness: 0.2776490066225165,relevance: 0.2571834010956369
[2021-10-13 00:35:36,410] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
[2021-10-13 00:35:45,991] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-10-13 00:36:30,473] DEBUG  Recall: 0.018211920529801324,coverage: 0.0310307609282245,novelty: 0.37991708517074585,unexpectedness: 0.25769867549668873,relevance: 0.26269022500867717
[2021-10-13 00:36:30,474] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-10-13 00:36:42,076] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-10-13 00:37:43,375] DEBUG  Recall: 0.024834437086092714,coverage: 0.03211009174311927,novelty: 0.6364595293998718,unexpectedness: 0.5382450331125829,relevance: 0.3233529613066447
[2021-10-13 00:37:43,376] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-10-13 00:37:59,473] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 42}
[2021-10-13 00:38:50,751] DEBUG  Recall: 0.01903973509933775,coverage: 0.03291958985429034,novelty: 0.6203196048736572,unexpectedness: 0.3396523178807947,relevance: 0.3222637774207231
[2021-10-13 00:38:50,751] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 42}
[2021-10-13 00:39:03,472] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 77}
[2021-10-13 00:39:54,723] DEBUG  Recall: 0.026490066225165563,coverage: 0.03453858607663249,novelty: 0.6344205737113953,unexpectedness: 0.5442880794701986,relevance: 0.32426920817159466
