[2021-10-18 23:29:23,644] INFO  Dataset: 1m
[2021-10-18 23:29:27,825] INFO  Grid search started: MatrixFactorization
[2021-10-18 23:29:28,580] DEBUG  Started MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-10-18 23:32:42,089] DEBUG  Recall: 0.055463576158940396,coverage: 0.17593092282784673,novelty: 0.7432193160057068,unexpectedness: 0.222682119205298,relevance: 0.2876845175657701
[2021-10-18 23:32:42,089] DEBUG  Finished MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-10-18 23:32:42,908] DEBUG  Started MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-10-18 23:35:56,027] DEBUG  Recall: 0.07119205298013245,coverage: 0.1894225580140313,novelty: 0.7510954141616821,unexpectedness: 0.1054635761589404,relevance: 0.30464697705078314
[2021-10-18 23:35:56,038] DEBUG  Finished MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-10-18 23:35:56,899] DEBUG  Started MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-10-18 23:39:15,457] DEBUG  Recall: 0.08609271523178808,coverage: 0.2018348623853211,novelty: 0.7647770047187805,unexpectedness: 0.0695364238410596,relevance: 0.307412550523072
[2021-10-18 23:39:15,458] DEBUG  Finished MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-10-18 23:39:16,540] DEBUG  Started MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-10-18 23:42:29,603] DEBUG  Recall: 0.0869205298013245,coverage: 0.20696168375607124,novelty: 0.7790922522544861,unexpectedness: 0.05264900662251656,relevance: 0.310026425356974
[2021-10-18 23:42:29,604] DEBUG  Finished MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-10-18 23:42:31,105] DEBUG  Started MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-10-18 23:45:47,271] DEBUG  Recall: 0.08278145695364239,coverage: 0.20615218564490015,novelty: 0.7898902893066406,unexpectedness: 0.03824503311258278,relevance: 0.3074593974468046
[2021-10-18 23:45:47,271] DEBUG  Finished MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-10-18 23:45:50,423] DEBUG  Started MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-10-18 23:49:12,100] DEBUG  Recall: 0.08774834437086093,coverage: 0.2085806799784134,novelty: 0.7866077423095703,unexpectedness: 0.03211920529801325,relevance: 0.30460851902843566
[2021-10-18 23:49:12,100] DEBUG  Finished MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-10-18 23:49:16,953] DEBUG  Started MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-10-18 23:52:44,367] DEBUG  Recall: 0.0869205298013245,coverage: 0.20291419320021586,novelty: 0.7653064131736755,unexpectedness: 0.025662251655629142,relevance: 0.30022476169534007
[2021-10-18 23:52:44,368] DEBUG  Finished MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-10-18 23:52:56,466] DEBUG  Started MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-10-18 23:56:19,988] DEBUG  Recall: 0.08278145695364239,coverage: 0.19454937938478142,novelty: 0.7612143754959106,unexpectedness: 0.017135761589403973,relevance: 0.2955353777301547
[2021-10-18 23:56:19,989] DEBUG  Finished MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-10-18 23:56:44,804] DEBUG  Started MatrixFactorization, {'n_components': 2000, 'random_state': 42}
[2021-10-19 00:00:26,316] DEBUG  Recall: 0.0836092715231788,coverage: 0.18456556934700485,novelty: 0.7544249296188354,unexpectedness: 0.024834437086092714,relevance: 0.2915858616956836
[2021-10-19 00:00:26,317] DEBUG  Finished MatrixFactorization, {'n_components': 2000, 'random_state': 42}
[2021-10-19 00:00:26,324] INFO  Grid search ended: MatrixFactorization
[2021-10-19 00:00:26,325] INFO  Saved MatrixFactorization as results\gs_unexp_fix3\MatrixFactorization.joblib
[2021-10-19 00:00:27,742] INFO  Grid search started: AutoRec
[2021-10-19 00:00:48,322] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
