[2021-09-23 09:08:09,095] DEBUG  Started: lambda=1.0
[2021-09-23 09:08:35,235] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.3103979205709545
[2021-09-23 09:08:35,236] DEBUG  Finished: lambda=1.0
[2021-09-23 09:08:35,236] DEBUG  Started: lambda=10.0
[2021-09-23 09:09:00,872] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.3069555358237797
[2021-09-23 09:09:00,873] DEBUG  Finished: lambda=10.0
[2021-09-23 09:09:00,873] DEBUG  Started: lambda=50.0
[2021-09-23 09:09:26,737] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.30276237265241424
[2021-09-23 09:09:26,739] DEBUG  Finished: lambda=50.0
[2021-09-23 09:09:26,739] DEBUG  Started: lambda=100.0
[2021-09-23 09:09:52,188] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.3007651928710899
[2021-09-23 09:09:52,188] DEBUG  Finished: lambda=100.0
[2021-09-23 09:09:52,188] DEBUG  Started: lambda=250.0
[2021-09-23 09:10:18,262] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.2970785389662125
[2021-09-23 09:10:18,262] DEBUG  Finished: lambda=250.0
[2021-09-23 09:10:18,263] DEBUG  Started: lambda=500.0
[2021-09-23 09:10:46,083] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.2937945628543228
[2021-09-23 09:10:46,084] DEBUG  Finished: lambda=500.0
[2021-09-23 09:10:46,085] DEBUG  Started: lambda=750.0
[2021-09-23 09:11:13,817] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.29165538763920923
[2021-09-23 09:11:13,818] DEBUG  Finished: lambda=750.0
[2021-09-23 09:11:13,818] DEBUG  Started: lambda=1000.0
[2021-09-23 09:11:39,512] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.2899090917296283
[2021-09-23 09:11:39,513] DEBUG  Finished: lambda=1000.0
[2021-09-23 09:11:39,513] DEBUG  Started: lambda=2000.0
[2021-09-23 09:12:04,986] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.2861614952509483
[2021-09-23 09:12:04,986] DEBUG  Finished: lambda=2000.0
[2021-09-23 09:12:04,986] DEBUG  Started: lambda=5000.0
[2021-09-23 09:12:30,540] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.28186071690324055
[2021-09-23 09:12:30,540] DEBUG  Finished: lambda=5000.0
[2021-09-23 09:12:30,540] DEBUG  Started: lambda=10000.0
[2021-09-23 09:12:56,090] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.28000256365870035
[2021-09-23 09:12:56,090] DEBUG  Finished: lambda=10000.0
