[2021-09-22 23:42:26,677] INFO  Dataset: 1m
[2021-09-22 23:42:43,162] INFO  Grid search started: KNNpopularity
[2021-09-22 23:42:43,462] DEBUG  Started KNNpopularity, {'k': 5}
[2021-09-22 23:45:35,759] DEBUG  Recall: 0.07533112582781457, coverage: 0.3073394495412844, serendipity: 0.2696709320522358
[2021-09-22 23:45:35,759] DEBUG  Finished KNNpopularity, {'k': 5}
[2021-09-22 23:45:36,048] DEBUG  Started KNNpopularity, {'k': 10}
[2021-09-22 23:48:38,108] DEBUG  Recall: 0.08112582781456953, coverage: 0.2366432811656773, serendipity: 0.3020969719170745
[2021-09-22 23:48:38,109] DEBUG  Finished KNNpopularity, {'k': 10}
[2021-09-22 23:48:38,403] DEBUG  Started KNNpopularity, {'k': 15}
[2021-09-22 23:51:49,207] DEBUG  Recall: 0.08609271523178808, coverage: 0.2050728548300054, serendipity: 0.3058670392289251
[2021-09-22 23:51:49,207] DEBUG  Finished KNNpopularity, {'k': 15}
[2021-09-22 23:51:49,509] DEBUG  Started KNNpopularity, {'k': 20}
[2021-09-22 23:55:03,987] DEBUG  Recall: 0.0836092715231788, coverage: 0.1829465731246627, serendipity: 0.30825054509386396
[2021-09-22 23:55:03,987] DEBUG  Finished KNNpopularity, {'k': 20}
[2021-09-22 23:55:04,286] DEBUG  Started KNNpopularity, {'k': 30}
[2021-09-22 23:58:36,406] DEBUG  Recall: 0.08278145695364239, coverage: 0.15893146249325418, serendipity: 0.3107425859800621
[2021-09-22 23:58:36,407] DEBUG  Finished KNNpopularity, {'k': 30}
[2021-09-22 23:58:36,704] DEBUG  Started KNNpopularity, {'k': 40}
[2021-09-23 00:02:24,621] DEBUG  Recall: 0.0836092715231788, coverage: 0.13815434430652995, serendipity: 0.3115677937212024
[2021-09-23 00:02:24,621] DEBUG  Finished KNNpopularity, {'k': 40}
[2021-09-23 00:02:24,917] DEBUG  Started KNNpopularity, {'k': 50}
[2021-09-23 00:06:32,265] DEBUG  Recall: 0.08278145695364239, coverage: 0.12898003237992445, serendipity: 0.31309416872846113
[2021-09-23 00:06:32,266] DEBUG  Finished KNNpopularity, {'k': 50}
[2021-09-23 00:06:32,588] DEBUG  Started KNNpopularity, {'k': 60}
[2021-09-23 00:10:48,798] DEBUG  Recall: 0.0836092715231788, coverage: 0.11575822989746357, serendipity: 0.31418160522678545
[2021-09-23 00:10:48,799] DEBUG  Finished KNNpopularity, {'k': 60}
[2021-09-23 00:10:49,086] DEBUG  Started KNNpopularity, {'k': 70}
[2021-09-23 00:15:20,253] DEBUG  Recall: 0.08526490066225166, coverage: 0.10793308148947653, serendipity: 0.31465468845896183
[2021-09-23 00:15:20,253] DEBUG  Finished KNNpopularity, {'k': 70}
[2021-09-23 00:15:20,540] DEBUG  Started KNNpopularity, {'k': 80}
[2021-09-23 00:20:05,343] DEBUG  Recall: 0.0802980132450331, coverage: 0.10199676200755532, serendipity: 0.31553178234882456
[2021-09-23 00:20:05,343] DEBUG  Finished KNNpopularity, {'k': 80}
[2021-09-23 00:20:05,630] DEBUG  Started KNNpopularity, {'k': 90}
[2021-09-23 00:25:02,602] DEBUG  Recall: 0.0802980132450331, coverage: 0.09579060982191041, serendipity: 0.3160966864768853
[2021-09-23 00:25:02,603] DEBUG  Finished KNNpopularity, {'k': 90}
[2021-09-23 00:25:02,890] DEBUG  Started KNNpopularity, {'k': 100}
[2021-09-23 00:30:13,046] DEBUG  Recall: 0.08857615894039735, coverage: 0.09093362115488397, serendipity: 0.3164864184431887
[2021-09-23 00:30:13,047] DEBUG  Finished KNNpopularity, {'k': 100}
[2021-09-23 00:30:13,332] DEBUG  Started KNNpopularity, {'k': 300}
[2021-09-23 00:40:06,478] DEBUG  Recall: 0.06788079470198675, coverage: 0.05558553696708041, serendipity: 0.32260332127389685
[2021-09-23 00:40:06,478] DEBUG  Finished KNNpopularity, {'k': 300}
[2021-09-23 00:40:06,757] DEBUG  Started KNNpopularity, {'k': 500}
[2021-09-23 00:54:15,463] DEBUG  Recall: 0.056291390728476824, coverage: 0.04506206152185645, serendipity: 0.3264656383955804
[2021-09-23 00:54:15,464] DEBUG  Finished KNNpopularity, {'k': 500}
[2021-09-23 00:54:15,731] DEBUG  Started KNNpopularity, {'k': 700}
