[2021-09-23 09:40:39,551] DEBUG  Started: lambda=1.0
[2021-09-23 09:41:06,878] DEBUG  Recall: 0.012417218543046357, coverage: 0.2625472207231516, serendipity: 0.4224610267816634
[2021-09-23 09:41:06,879] DEBUG  Finished: lambda=1.0
[2021-09-23 09:41:06,879] DEBUG  Started: lambda=10.0
[2021-09-23 09:41:36,331] DEBUG  Recall: 0.023178807947019868, coverage: 0.23340528872099298, serendipity: 0.4201133751853761
[2021-09-23 09:41:36,331] DEBUG  Finished: lambda=10.0
[2021-09-23 09:41:36,332] DEBUG  Started: lambda=50.0
[2021-09-23 09:42:04,791] DEBUG  Recall: 0.03145695364238411, coverage: 0.20561252023745277, serendipity: 0.4169985887672181
[2021-09-23 09:42:04,792] DEBUG  Finished: lambda=50.0
[2021-09-23 09:42:04,792] DEBUG  Started: lambda=100.0
[2021-09-23 09:42:40,575] DEBUG  Recall: 0.037251655629139076, coverage: 0.1864543982730707, serendipity: 0.4154503298525566
[2021-09-23 09:42:40,576] DEBUG  Finished: lambda=100.0
[2021-09-23 09:42:40,576] DEBUG  Started: lambda=250.0
[2021-09-23 09:43:10,003] DEBUG  Recall: 0.043874172185430466, coverage: 0.1651376146788991, serendipity: 0.4121305734103559
[2021-09-23 09:43:10,003] DEBUG  Finished: lambda=250.0
[2021-09-23 09:43:10,004] DEBUG  Started: lambda=500.0
[2021-09-23 09:43:38,715] DEBUG  Recall: 0.048841059602649006, coverage: 0.14867781975175393, serendipity: 0.40921848573449215
[2021-09-23 09:43:38,716] DEBUG  Finished: lambda=500.0
[2021-09-23 09:43:38,716] DEBUG  Started: lambda=750.0
[2021-09-23 09:44:09,052] DEBUG  Recall: 0.04966887417218543, coverage: 0.13572584997301673, serendipity: 0.4071450041253735
[2021-09-23 09:44:09,052] DEBUG  Finished: lambda=750.0
[2021-09-23 09:44:09,052] DEBUG  Started: lambda=1000.0
[2021-09-23 09:44:36,943] DEBUG  Recall: 0.04966887417218543, coverage: 0.12817053426875338, serendipity: 0.4053752828997808
[2021-09-23 09:44:36,943] DEBUG  Finished: lambda=1000.0
[2021-09-23 09:44:36,944] DEBUG  Started: lambda=2000.0
[2021-09-23 09:45:05,155] DEBUG  Recall: 0.04966887417218543, coverage: 0.11117107393416081, serendipity: 0.40124543603962004
[2021-09-23 09:45:05,155] DEBUG  Finished: lambda=2000.0
[2021-09-23 09:45:05,156] DEBUG  Started: lambda=5000.0
[2021-09-23 09:45:33,137] DEBUG  Recall: 0.04470198675496689, coverage: 0.08634646519158122, serendipity: 0.39543522709686024
[2021-09-23 09:45:33,138] DEBUG  Finished: lambda=5000.0
[2021-09-23 09:45:33,138] DEBUG  Started: lambda=10000.0
[2021-09-23 09:46:01,139] DEBUG  Recall: 0.04470198675496689, coverage: 0.06745817593092283, serendipity: 0.3915955376622711
[2021-09-23 09:46:01,139] DEBUG  Finished: lambda=10000.0
