[2021-09-23 09:42:02,523] INFO  Dataset: 1m
[2021-09-23 09:42:24,581] INFO  Grid search started: KNNpopularity
[2021-09-23 09:42:24,884] DEBUG  Started KNNpopularity, {'k': 5}
[2021-09-23 09:45:24,379] DEBUG  Recall: 0.07533112582781457, coverage: 0.3073394495412844, serendipity: 0.3667265157071176
[2021-09-23 09:45:24,379] DEBUG  Finished KNNpopularity, {'k': 5}
[2021-09-23 09:45:24,664] DEBUG  Started KNNpopularity, {'k': 10}
[2021-09-23 09:48:26,777] DEBUG  Recall: 0.08112582781456953, coverage: 0.2366432811656773, serendipity: 0.3993769537389903
[2021-09-23 09:48:26,778] DEBUG  Finished KNNpopularity, {'k': 10}
[2021-09-23 09:48:27,044] DEBUG  Started KNNpopularity, {'k': 15}
[2021-09-23 09:51:36,179] DEBUG  Recall: 0.08609271523178808, coverage: 0.2050728548300054, serendipity: 0.40301276264643643
[2021-09-23 09:51:36,189] DEBUG  Finished KNNpopularity, {'k': 15}
[2021-09-23 09:51:36,456] DEBUG  Started KNNpopularity, {'k': 20}
[2021-09-23 09:54:48,833] DEBUG  Recall: 0.0836092715231788, coverage: 0.1829465731246627, serendipity: 0.4049505246067352
[2021-09-23 09:54:48,834] DEBUG  Finished KNNpopularity, {'k': 20}
[2021-09-23 09:54:49,091] DEBUG  Started KNNpopularity, {'k': 30}
[2021-09-23 09:58:17,092] DEBUG  Recall: 0.08278145695364239, coverage: 0.15893146249325418, serendipity: 0.40630498169264484
[2021-09-23 09:58:17,092] DEBUG  Finished KNNpopularity, {'k': 30}
[2021-09-23 09:58:17,348] DEBUG  Started KNNpopularity, {'k': 40}
[2021-09-23 10:01:57,032] DEBUG  Recall: 0.0836092715231788, coverage: 0.13815434430652995, serendipity: 0.40632585544230493
[2021-09-23 10:01:57,033] DEBUG  Finished KNNpopularity, {'k': 40}
[2021-09-23 10:01:57,294] DEBUG  Started KNNpopularity, {'k': 50}
[2021-09-23 10:05:50,524] DEBUG  Recall: 0.08278145695364239, coverage: 0.12898003237992445, serendipity: 0.40699212475690555
