[2021-10-14 23:31:30,566] INFO  Dataset: 1m
[2021-10-15 03:07:40,931] INFO  Grid search started: AutoRec
[2021-10-15 03:07:52,086] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-10-15 03:08:36,102] DEBUG  Recall: 0.02152317880794702,coverage: 0.019427954668105773,novelty: 0.3127259910106659,unexpectedness: 0.0020695364238410598,relevance: 0.25211740486341283
[2021-10-15 03:08:36,103] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-10-15 03:08:46,016] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-10-15 03:09:29,610] DEBUG  Recall: 0.019867549668874173,coverage: 0.008634646519158122,novelty: 0.33939194679260254,unexpectedness: 0.9452814569536424,relevance: 0.25610786217064474
[2021-10-15 03:09:29,619] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-10-15 03:09:40,414] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-10-15 03:10:23,778] DEBUG  Recall: 0.023178807947019868,coverage: 0.005666486778197518,novelty: 0.30577078461647034,unexpectedness: 0.9415562913907286,relevance: 0.2544769669942823
[2021-10-15 03:10:23,778] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-10-15 03:10:32,617] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-10-15 03:11:15,897] DEBUG  Recall: 0.018211920529801324,coverage: 0.044522396114409064,novelty: 0.44312170147895813,unexpectedness: 0.9420529801324503,relevance: 0.26111222627698494
[2021-10-15 03:11:15,897] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-10-15 03:11:24,011] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
[2021-10-15 03:12:08,417] DEBUG  Recall: 0.019867549668874173,coverage: 0.04263356718834323,novelty: 0.3692646026611328,unexpectedness: 0.9442052980132452,relevance: 0.2571834010956369
[2021-10-15 03:12:08,417] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
[2021-10-15 03:12:17,444] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-10-15 03:13:00,791] DEBUG  Recall: 0.018211920529801324,coverage: 0.03291958985429034,novelty: 0.3857951760292053,unexpectedness: 0.9377483443708609,relevance: 0.2636572728468042
[2021-10-15 03:13:00,792] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-10-15 03:13:12,602] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-10-15 03:13:56,032] DEBUG  Recall: 0.024834437086092714,coverage: 0.031570426335671885,novelty: 0.6369176506996155,unexpectedness: 0.9538907284768213,relevance: 0.3233947145550145
[2021-10-15 03:13:56,032] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-10-15 03:14:07,553] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 42}
[2021-10-15 03:14:51,036] DEBUG  Recall: 0.01903973509933775,coverage: 0.033189422558014034,novelty: 0.6186747550964355,unexpectedness: 0.9480960264900664,relevance: 0.32226962137547066
[2021-10-15 03:14:51,036] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 42}
[2021-10-15 03:15:02,660] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 77}
[2021-10-15 03:15:45,870] DEBUG  Recall: 0.028145695364238412,coverage: 0.03453858607663249,novelty: 0.6361080408096313,unexpectedness: 0.9447847682119205,relevance: 0.3242125188919482
[2021-10-15 03:15:45,870] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 77}
[2021-10-15 03:15:56,518] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 11}
[2021-10-15 03:16:40,005] DEBUG  Recall: 0.022350993377483443,coverage: 0.04937938478143551,novelty: 0.6650980114936829,unexpectedness: 0.9471026490066224,relevance: 0.32816862777858885
[2021-10-15 03:16:40,005] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 11}
[2021-10-15 03:16:51,063] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 42}
[2021-10-15 03:17:34,309] DEBUG  Recall: 0.022350993377483443,coverage: 0.05531570426335672,novelty: 0.6877605319023132,unexpectedness: 0.9545529801324503,relevance: 0.3360025079089501
[2021-10-15 03:17:34,309] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 42}
[2021-10-15 03:17:44,521] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 77}
[2021-10-15 03:18:28,171] DEBUG  Recall: 0.024834437086092714,coverage: 0.04695089044792229,novelty: 0.6586549282073975,unexpectedness: 0.9480132450331126,relevance: 0.33077446407419725
[2021-10-15 03:18:28,172] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 77}
[2021-10-15 03:18:40,696] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 11}
[2021-10-15 03:19:24,011] DEBUG  Recall: 0.029801324503311258,coverage: 0.06314085267134377,novelty: 0.7114757895469666,unexpectedness: 0.9506622516556292,relevance: 0.3418293493818442
[2021-10-15 03:19:24,012] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 11}
[2021-10-15 03:19:35,638] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 42}
[2021-10-15 03:20:19,199] DEBUG  Recall: 0.028145695364238412,coverage: 0.058014031300593634,novelty: 0.6918207406997681,unexpectedness: 0.9507450331125827,relevance: 0.337693599631636
[2021-10-15 03:20:19,199] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 42}
[2021-10-15 03:20:31,038] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 77}
[2021-10-15 03:21:14,296] DEBUG  Recall: 0.020695364238410598,coverage: 0.06475984889368591,novelty: 0.714730978012085,unexpectedness: 0.9512417218543048,relevance: 0.3423303177572848
[2021-10-15 03:21:14,296] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 77}
[2021-10-15 03:21:26,307] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 11}
[2021-10-15 03:22:09,580] DEBUG  Recall: 0.019867549668874173,coverage: 0.06583917970858068,novelty: 0.7166627645492554,unexpectedness: 0.9460264900662253,relevance: 0.34295020930914016
[2021-10-15 03:22:09,581] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 11}
[2021-10-15 03:22:22,441] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-10-15 03:23:05,739] DEBUG  Recall: 0.024834437086092714,coverage: 0.06556934700485699,novelty: 0.7192258238792419,unexpectedness: 0.8487582781456955,relevance: 0.3453158909965831
[2021-10-15 03:23:05,740] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-10-15 03:23:18,430] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-10-15 03:24:01,788] DEBUG  Recall: 0.020695364238410598,coverage: 0.07204533189422559,novelty: 0.7201797962188721,unexpectedness: 0.8509105960264901,relevance: 0.34375775758078314
[2021-10-15 03:24:01,789] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-10-15 03:24:16,428] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-10-15 03:24:59,918] DEBUG  Recall: 0.024006622516556293,coverage: 0.06691851052347544,novelty: 0.7276402115821838,unexpectedness: 0.846771523178808,relevance: 0.3421303582107724
[2021-10-15 03:24:59,919] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-10-15 03:25:15,833] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-10-15 03:25:58,989] DEBUG  Recall: 0.027317880794701987,coverage: 0.06880733944954129,novelty: 0.7384152412414551,unexpectedness: 0.8580298013245033,relevance: 0.3472727807909552
[2021-10-15 03:25:58,989] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-10-15 03:26:12,069] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-10-15 03:26:55,628] DEBUG  Recall: 0.020695364238410598,coverage: 0.0650296815974096,novelty: 0.7115727066993713,unexpectedness: 0.8560430463576159,relevance: 0.34087402156086705
[2021-10-15 03:26:55,628] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-10-15 03:27:06,299] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-10-15 03:27:49,733] DEBUG  Recall: 0.02152317880794702,coverage: 0.013491635186184566,novelty: 0.4952503740787506,unexpectedness: 0.8668046357615893,relevance: 0.28843694742130455
[2021-10-15 03:27:49,733] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-10-15 03:28:00,782] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-10-15 03:28:44,151] DEBUG  Recall: 0.020695364238410598,coverage: 0.023745277927684834,novelty: 0.5756745934486389,unexpectedness: 0.8375827814569538,relevance: 0.29871275788554374
[2021-10-15 03:28:44,151] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-10-15 03:28:55,365] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-10-15 03:29:38,735] DEBUG  Recall: 0.01903973509933775,coverage: 0.019427954668105773,novelty: 0.5500317215919495,unexpectedness: 0.8274006622516556,relevance: 0.2926310849587567
[2021-10-15 03:29:38,735] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-10-15 03:29:55,433] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
